book_idx,title,year,4_to_what_extent_would_you_describe_the_movie_as_plot_driven_and_chara,9_how_realistic_did_you_find_the_dialogue_in_the_movie,1_how_many_protagonists_were_there_a_protagonist_is_the_person_or_enti,3_approximately_how_many_named_side_characters_are_in_this_movie_feel,5_if_you_checked_any_of_the_above_how_relevant_are_these_aspect_s_of_t,8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,11_how_real_did_this_protagonist_feel_to_you,12_how_emotionally_invested_were_you_in_this_protagonist,13_how_relatable_did_you_find_this_protagonist,5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,5_how_fantastical_was_the_world_of_the_movies_by_fantastical_we_mean_a,6_how_science_fictional_was_the_world_of_the_movie_by_science_fictiona,7_overall_how_relevant_was_world_building_to_the_movie_world_building,8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,4_how_immersive_did_you_find_this_setting_by_immersive_we_mean_fully_r,5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,3_how_evocative_did_you_find_the_visual_style_by_evocative_we_mean_aff,4_how_interesting_did_you_find_the_visual_style_by_interesting_we_mean,7_now_let_s_talk_pun_intended_about_dialogue_in_your_opinion_how_was_t,8_how_engaging_did_you_find_the_dialogue_in_the_movie,5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,13_how_much_did_you_like_the_score,8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a
1,Animal Farm,1945.0,4,5,3,10,5,2,3,6,5,5,6,5,1,1,5,1,6,6,3,1,5,6,6,6,5,5,6,5,6,3
3,A Clockwork Orange (novel),1962.0,4,6,1,10,5,1,4,5,1,1,6,5,5,5,5,1,6,6,3,5,5,3,3,6,6,5,6,4,6,5
4,The Plague (novel),,4,5,5,15,4,4,4,6,6,5,6,6,1,1,5,1,6,6,3,7,5,6,6,6,5,4,5,5,5,5
5,A Fire Upon the Deep,1992.0,4,5,6,20,4,4,4,6,6,4,6,5,7,7,5,6,6,6,4,5,5,5,5,6,6,4,5,4,6,5
6,All Quiet on the Western Front,1916.0,5,6,1,20,5,5,3,7,7,7,6,7,1,1,5,3,7,6,3,7,5,6,7,7,6,5,6,5,6,3
7,A Wizard of Earthsea,1968.0,4,5,1,15,5,4,4,6,6,6,6,5,7,5,5,5,6,7,3,7,5,6,6,6,6,5,6,5,6,5
8,Blade Runner 3: Replicant Night,1996.0,4,5,3,15,4,3,4,6,6,5,6,5,6,7,5,6,6,6,4,5,6,5,5,6,6,4,5,5,5,5
9,Blade Runner 2: The Edge of Human,1995.0,4,5,3,15,4,3,4,5,5,5,6,5,6,6,5,3,6,6,3,5,5,5,5,6,5,4,6,4,5,4
10,Crash (Ballard novel),1973.0,4,5,2,10,4,2,3,5,4,2,6,5,3,5,5,2,6,6,3,2,6,3,3,6,6,4,5,3,5,4
11,Children of Dune,1976.0,4,5,3,20,5,4,5,6,6,5,6,5,6,7,5,5,6,6,4,7,6,5,5,6,6,4,6,4,5,5
12,Candide,,4,5,1,30,3,3,2,4,5,4,6,3,5,1,4,3,6,6,4,6,5,5,3,5,5,4,6,4,5,3
13,Chapterhouse: Dune,1985.0,4,5,6,20,4,4,4,6,6,5,6,5,6,7,5,6,6,6,3,4,6,5,5,6,6,4,5,4,5,5
14,Carmilla,1871.0,4,5,2,10,5,4,3,6,6,5,6,5,6,2,5,3,6,6,3,7,5,6,5,6,6,4,6,4,5,3
15,The Cider House Rules (novel),1985.0,4,6,3,20,4,4,4,6,6,5,6,5,1,1,3,3,6,6,3,6,5,6,6,6,5,4,6,4,6,4
16,Dracula,1897.0,4,5,5,20,4,3,3,6,5,3,6,4,6,2,5,6,6,6,3,7,5,6,5,6,6,4,6,4,6,4
17,Dune Messiah,1969.0,4,5,3,20,5,3,4,6,6,4,6,5,6,7,5,4,6,6,3,6,6,5,5,6,5,4,6,5,5,5
